week,metric,count_7d,count_prior_7d,delta_pct,source,note
2026-W32,product_events_total,120,,,"supabase","first week of instrumentation (live 2026-08-06); prior weeks = no-data not zero"
2026-W32,product_events_total,235,0,,"supabase","full-week snapshot; supersedes mid-week bootstrap row (120); events live 2026-08-06 so W32 is a ~4-day partial week"
2026-W32,results_viewed,190,0,,"supabase","partial week (events live 08-06)"
2026-W32,upload_started,7,0,,"supabase",""
2026-W32,upload_saved,7,0,,"supabase","7/7 started→saved"
2026-W32,cloud_connect_started,5,0,,"supabase",""
2026-W32,cloud_connect_success,2,0,,"supabase","2/5 = 40% conversion; small n"
2026-W32,correction_made,9,0,,"supabase","FHIR correction path has real usage"
2026-W32,lab_rows_viewed,15,0,,"supabase","US-21 phase 1 signal"
2026-W32,lab_row_added,0,0,,"supabase","expected 0 — phase 2 not built"
2026-W32,chat_opened,0,0,,"supabase","DEAD INSTRUMENTATION — only emit site unreachable on every live surface; see 2026-W32 report"
2026-W32,reminder_optin_events,0,0,,"supabase","event never fired since instrumentation"
2026-W32,reminder_optin_total,2,,,"supabase","all-time opt-in rows; unchanged since audit"
2026-W32,chat_messages,158,32,394,"supabase",""
2026-W32,chat_match_events,93,16,481,"supabase","unmatched 68/93 = 73.1% vs ~48% audit baseline"
2026-W32,sentry_new_issues,2,,,"sentry","logTickError + YouTube OAuth refresh 500 — both YouTube-bot server-side"
2026-W32,clarity_roadmap_visits_3d,216,,,"clarity","3-day sample; /pages/roadmap = #3 page on drstanfield.com"
2026-W32,feedback_organic,0,,,"gmail+supabase","only 2 self-labeled diagnostic rows in feedback_submissions"
