week,metric,count_7d,count_prior_7d,delta_pct,source,note
2026-W32,product_events_total,120,,,"supabase","first week of instrumentation (live 2026-08-06); prior weeks = no-data not zero"
2026-W32,product_events_total,235,0,,"supabase","full-week snapshot; supersedes mid-week bootstrap row (120); events live 2026-08-06 so W32 is a ~4-day partial week"
2026-W32,results_viewed,190,0,,"supabase","partial week (events live 08-06)"
2026-W32,upload_started,7,0,,"supabase",""
2026-W32,upload_saved,7,0,,"supabase","7/7 started→saved"
2026-W32,cloud_connect_started,5,0,,"supabase",""
2026-W32,cloud_connect_success,2,0,,"supabase","2/5 = 40% conversion; small n"
2026-W32,correction_made,9,0,,"supabase","FHIR correction path has real usage"
2026-W32,lab_rows_viewed,15,0,,"supabase","US-21 phase 1 signal"
2026-W32,lab_row_added,0,0,,"supabase","expected 0 — phase 2 not built"
2026-W32,chat_opened,0,0,,"supabase","DEAD INSTRUMENTATION — only emit site unreachable on every live surface; see 2026-W32 report"
2026-W32,reminder_optin_events,0,0,,"supabase","event never fired since instrumentation"
2026-W32,reminder_optin_total,2,,,"supabase","all-time opt-in rows; unchanged since audit"
2026-W32,chat_messages,158,32,394,"supabase",""
2026-W32,chat_match_events,93,16,481,"supabase","unmatched 68/93 = 73.1% vs ~48% audit baseline"
2026-W32,sentry_new_issues,2,,,"sentry","logTickError + YouTube OAuth refresh 500 — both YouTube-bot server-side"
2026-W32,clarity_roadmap_visits_3d,216,,,"clarity","3-day sample; /pages/roadmap = #3 page on drstanfield.com"
2026-W32,feedback_organic,0,,,"gmail+supabase","only 2 self-labeled diagnostic rows in feedback_submissions"
2026-W33,product_events_total,430,191,,"supabase","windowed counts both sides (all-time 621); prior window holds only ~2.8 instrumented days (events live 08-06)"
2026-W33,results_viewed,351,149,136,"supabase","per-day rate FLAT (~50/day both weeks) — raw delta is a window artifact"
2026-W33,upload_started,2,7,-71,"supabase","small n; real per-day decline"
2026-W33,upload_saved,2,7,-71,"supabase","2/2 started→saved"
2026-W33,upload_extract_failed,0,0,,"supabase","true zero — only 2 uploads, none failed; emit site live (US-12 AC3)"
2026-W33,cloud_connect_started,3,5,,"supabase","small n"
2026-W33,cloud_connect_success,1,2,,"supabase","cumulative 8 started → 3 success over 2 wks; still no failure-step metadata"
2026-W33,chat_opened,0,0,,"supabase","STILL DEAD on the traffic-carrying surface: site-chat bundle builds without VITE_SHOPIFY_SURFACE so trackProductEvent no-ops; widget-bundle fix live since 08-12 deploy — see 2026-W33 report"
2026-W33,correction_made,11,6,83,"supabase","per-day roughly flat; steady real usage (US-04)"
2026-W33,lab_rows_viewed,6,15,-60,"supabase","real per-day decline (~6.5/day novelty week → 0.9/day); US-21"
2026-W33,lab_row_added,0,0,,"supabase","true zero so far — US-21 phase-2 UI deployed 08-14, only ~1.5d of window"
2026-W33,reminder_optin_events,18,0,,"supabase","first week of default-on cloud (US-17) + typed lane (US-23)"
2026-W33,reminder_optout_events,0,0,,"supabase","true zero — emit sites live (client cancel + unsubscribe page); kill-ratio 0/18 vs 30% threshold"
2026-W33,reminder_optin_total,20,2,,"supabase","all-time rows: 17 typed + 3 google-drive; was 2 ever before this week"
2026-W33,report_email_sent,25,0,,"supabase","US-22 live"
2026-W33,report_email_clicked,10,0,,"supabase","40% CTR — clicks, not opens, are the ownership signal"
2026-W33,report_email_bounced,1,0,,"supabase","1/25 = 4%; webhook un-enrols; 0 complaints (no report_email_complained rows)"
2026-W33,chat_messages,260,104,150,"supabase","260 total (169 user-authored); server table so the comparison is window-clean"
2026-W33,chat_match_events,169,56,202,"supabase","unmatched 119/169 = 70.4% (W32: 73.1%) — still ~48%-baseline breach; chat-health's lane"
2026-W33,sentry_new_issues,1,2,,"sentry","logTickError 08-09, platform-bot, 1 event; nothing user-facing"
2026-W33,clarity_roadmap_visits_3d,178,216,-18,"clarity","3-day sample; still #3 page on drstanfield.com; site sessions +8.7% to 4490/3d"
2026-W33,feedback_organic,0,0,,"gmail+supabase","no feedback emails 8d; 0 feedback_submissions rows in window"
